scenario_family,year,target_column,target_label,baseline_prevalence_per_100k,recent_momentum,predicted_residual,predicted_prevalence_per_100k,table_role,model_name
high_emissions,2026,lyme_cases_per_100k,Lyme prevalence per 100k,7939.903481400254,2246.2488823894782,-2103.25641862679,5836.647062773464,scenario_projection_recursive,lyme_prevalence
high_emissions,2027,lyme_cases_per_100k,Lyme prevalence per 100k,5836.647062773464,-449.85261556130627,-209.9092914176672,5626.737771355797,scenario_projection_recursive,lyme_prevalence
high_emissions,2028,lyme_cases_per_100k,Lyme prevalence per 100k,5626.737771355797,-841.0250004873751,-86.02459919696321,5540.713172158834,scenario_projection_recursive,lyme_prevalence
high_emissions,2029,lyme_cases_per_100k,Lyme prevalence per 100k,5540.713172158834,-127.31949660386454,1879.3313480192166,7420.04452017805,scenario_projection_recursive,lyme_prevalence
high_emissions,2030,lyme_cases_per_100k,Lyme prevalence per 100k,7420.04452017805,1224.2126989471562,-1993.4006477058465,5426.643872472204,scenario_projection_recursive,lyme_prevalence
high_emissions,2031,lyme_cases_per_100k,Lyme prevalence per 100k,5426.643872472204,-702.489982464158,-350.1295447680577,5076.514327704146,scenario_projection_recursive,lyme_prevalence
high_emissions,2032,lyme_cases_per_100k,Lyme prevalence per 100k,5076.514327704146,-897.8865790806531,4943.806202371816,10020.320530075962,scenario_projection_recursive,lyme_prevalence
high_emissions,2033,lyme_cases_per_100k,Lyme prevalence per 100k,10020.320530075962,3179.1609533251913,-91.46718754423023,9928.853342531731,scenario_projection_recursive,lyme_prevalence
high_emissions,2034,lyme_cases_per_100k,Lyme prevalence per 100k,9928.853342531731,1586.9572757611168,4319.397878805754,14248.251221337485,scenario_projection_recursive,lyme_prevalence
high_emissions,2035,lyme_cases_per_100k,Lyme prevalence per 100k,14248.251221337485,2849.1095233557608,-946.1979222864716,13302.053299051013,scenario_projection_recursive,lyme_prevalence
high_emissions,2036,lyme_cases_per_100k,Lyme prevalence per 100k,13302.053299051013,809.0006780776039,-292.212439917909,13009.840859133104,scenario_projection_recursive,lyme_prevalence
high_emissions,2037,lyme_cases_per_100k,Lyme prevalence per 100k,13009.840859133104,-510.20760070742836,2670.111347970502,15679.952207103606,scenario_projection_recursive,lyme_prevalence
high_emissions,2038,lyme_cases_per_100k,Lyme prevalence per 100k,15679.952207103606,1682.6700853410312,1661.557835024613,17341.51004212822,scenario_projection_recursive,lyme_prevalence
high_emissions,2039,lyme_cases_per_100k,Lyme prevalence per 100k,17341.51004212822,1997.7423393399094,3810.3545708353613,21151.86461296358,scenario_projection_recursive,lyme_prevalence
high_emissions,2040,lyme_cases_per_100k,Lyme prevalence per 100k,21151.86461296358,3094.08899223178,-482.7701523333376,20669.094460630244,scenario_projection_recursive,lyme_prevalence
high_emissions,2041,lyme_cases_per_100k,Lyme prevalence per 100k,20669.094460630244,948.2714220562302,2503.904919994262,23172.999380624504,scenario_projection_recursive,lyme_prevalence
high_emissions,2042,lyme_cases_per_100k,Lyme prevalence per 100k,23172.999380624504,1508.3465625517274,781.6037823470144,23954.603162971518,scenario_projection_recursive,lyme_prevalence
high_emissions,2043,lyme_cases_per_100k,Lyme prevalence per 100k,23954.603162971518,1355.7041615627604,2035.142359596816,25989.745522568333,scenario_projection_recursive,lyme_prevalence
high_emissions,2044,lyme_cases_per_100k,Lyme prevalence per 100k,25989.745522568333,1617.296167180215,-1011.5699466298386,24978.175575938494,scenario_projection_recursive,lyme_prevalence
high_emissions,2045,lyme_cases_per_100k,Lyme prevalence per 100k,24978.175575938494,4.000822112378955,-1588.0644072120867,23390.111168726406,scenario_projection_recursive,lyme_prevalence
high_emissions,2046,lyme_cases_per_100k,Lyme prevalence per 100k,23390.111168726406,-1395.8995870180079,2235.0446289385936,25625.155797665,scenario_projection_recursive,lyme_prevalence
high_emissions,2047,lyme_cases_per_100k,Lyme prevalence per 100k,25625.155797665,960.6749502217026,-482.0101437578701,25143.14565390713,scenario_projection_recursive,lyme_prevalence
high_emissions,2048,lyme_cases_per_100k,Lyme prevalence per 100k,25143.14565390713,423.6747804742845,-101.66218531161462,25041.483468595514,scenario_projection_recursive,lyme_prevalence
high_emissions,2049,lyme_cases_per_100k,Lyme prevalence per 100k,25041.483468595514,-228.44483812703402,888.7430903154175,25930.22655891093,scenario_projection_recursive,lyme_prevalence
high_emissions,2050,lyme_cases_per_100k,Lyme prevalence per 100k,25930.22655891093,558.6079984397365,3878.564010882691,29808.790569793622,scenario_projection_recursive,lyme_prevalence
high_emissions,2051,lyme_cases_per_100k,Lyme prevalence per 100k,29808.790569793622,2881.9570373602655,929.6218134117432,30738.412383205366,scenario_projection_recursive,lyme_prevalence
high_emissions,2052,lyme_cases_per_100k,Lyme prevalence per 100k,30738.412383205366,1912.6025459020566,2138.3592987995125,32876.77168200488,scenario_projection_recursive,lyme_prevalence
high_emissions,2053,lyme_cases_per_100k,Lyme prevalence per 100k,32876.77168200488,1735.4468036702601,2773.1355301909753,35649.90721219586,scenario_projection_recursive,lyme_prevalence
high_emissions,2054,lyme_cases_per_100k,Lyme prevalence per 100k,35649.90721219586,2561.5434530604907,577.0756939943115,36226.98290619017,scenario_projection_recursive,lyme_prevalence
high_emissions,2055,lyme_cases_per_100k,Lyme prevalence per 100k,36226.98290619017,1309.0956393931992,1846.784644231391,38073.76755042156,scenario_projection_recursive,lyme_prevalence
high_emissions,2056,lyme_cases_per_100k,Lyme prevalence per 100k,38073.76755042156,1423.548327485696,2460.080598728233,40533.848149149795,scenario_projection_recursive,lyme_prevalence
high_emissions,2057,lyme_cases_per_100k,Lyme prevalence per 100k,40533.848149149795,2255.6486138959517,1369.5297590905318,41903.37790824033,scenario_projection_recursive,lyme_prevalence
high_emissions,2058,lyme_cases_per_100k,Lyme prevalence per 100k,41903.37790824033,1733.0467056364287,458.88739465128697,42362.26530289162,scenario_projection_recursive,lyme_prevalence
high_emissions,2059,lyme_cases_per_100k,Lyme prevalence per 100k,42362.26530289162,762.4348494643709,3420.4271568745944,45782.692459766215,scenario_projection_recursive,lyme_prevalence
high_emissions,2060,lyme_cases_per_100k,Lyme prevalence per 100k,45782.692459766215,2433.2472361334876,1922.5828091012625,47705.275268867474,scenario_projection_recursive,lyme_prevalence
high_emissions,2061,lyme_cases_per_100k,Lyme prevalence per 100k,47705.275268867474,2421.864258359041,988.0807077059883,48693.35597657346,scenario_projection_recursive,lyme_prevalence
high_emissions,2062,lyme_cases_per_100k,Lyme prevalence per 100k,48693.35597657346,1299.5814081710778,4216.288669919786,52909.644646493245,scenario_projection_recursive,lyme_prevalence
high_emissions,2063,lyme_cases_per_100k,Lyme prevalence per 100k,52909.644646493245,3140.2193491818543,2164.6043666316455,55074.24901312489,scenario_projection_recursive,lyme_prevalence
high_emissions,2064,lyme_cases_per_100k,Lyme prevalence per 100k,55074.24901312489,2848.499134394362,714.0932776784641,55788.34229080335,scenario_projection_recursive,lyme_prevalence
high_emissions,2065,lyme_cases_per_100k,Lyme prevalence per 100k,55788.34229080335,1197.5969739961947,-1256.598729055657,54531.743561747695,scenario_projection_recursive,lyme_prevalence
high_emissions,2066,lyme_cases_per_100k,Lyme prevalence per 100k,54531.743561747695,-599.7013934776187,1638.8772200389833,56170.62078178668,scenario_projection_recursive,lyme_prevalence
high_emissions,2067,lyme_cases_per_100k,Lyme prevalence per 100k,56170.62078178668,673.718570340774,2292.0324888440555,58462.65327063073,scenario_projection_recursive,lyme_prevalence
high_emissions,2068,lyme_cases_per_100k,Lyme prevalence per 100k,58462.65327063073,2074.3140659090277,3183.2374033599617,61645.890673990696,scenario_projection_recursive,lyme_prevalence
high_emissions,2069,lyme_cases_per_100k,Lyme prevalence per 100k,61645.890673990696,2886.169098521328,1009.8333796306185,62655.724053621314,scenario_projection_recursive,lyme_prevalence
high_emissions,2070,lyme_cases_per_100k,Lyme prevalence per 100k,62655.724053621314,1734.3013875403994,-35.54977018928753,62620.174283432025,scenario_projection_recursive,lyme_prevalence
high_emissions,2071,lyme_cases_per_100k,Lyme prevalence per 100k,62620.174283432025,312.9112797506823,2515.2283472867302,65135.40263071875,scenario_projection_recursive,lyme_prevalence
high_emissions,2072,lyme_cases_per_100k,Lyme prevalence per 100k,65135.40263071875,1664.9689747947268,355.15982158823545,65490.562452306986,scenario_projection_recursive,lyme_prevalence
high_emissions,2073,lyme_cases_per_100k,Lyme prevalence per 100k,65490.562452306986,1075.1826634877289,1211.2392090669957,66701.80166137397,scenario_projection_recursive,lyme_prevalence
high_emissions,2074,lyme_cases_per_100k,Lyme prevalence per 100k,66701.80166137397,925.8794132407347,3020.63227685737,69722.43393823135,scenario_projection_recursive,lyme_prevalence
high_emissions,2075,lyme_cases_per_100k,Lyme prevalence per 100k,69722.43393823135,2417.5012542605837,2033.7512018730197,71756.18514010437,scenario_projection_recursive,lyme_prevalence
high_emissions,2076,lyme_cases_per_100k,Lyme prevalence per 100k,71756.18514010437,2362.7115602011327,1984.6655509030331,73740.8506910074,scenario_projection_recursive,lyme_prevalence
high_emissions,2077,lyme_cases_per_100k,Lyme prevalence per 100k,73740.8506910074,2001.027434559699,4215.028199717183,77955.87889072459,scenario_projection_recursive,lyme_prevalence
high_emissions,2078,lyme_cases_per_100k,Lyme prevalence per 100k,77955.87889072459,3471.5739834457927,-199.25309030909807,77756.6258004155,scenario_projection_recursive,lyme_prevalence
high_emissions,2079,lyme_cases_per_100k,Lyme prevalence per 100k,77756.6258004155,1272.174006366331,1014.2818438049505,78770.90764422044,scenario_projection_recursive,lyme_prevalence
high_emissions,2080,lyme_cases_per_100k,Lyme prevalence per 100k,78770.90764422044,609.7701991002687,3895.5302028079905,82666.43784702843,scenario_projection_recursive,lyme_prevalence
high_emissions,2081,lyme_cases_per_100k,Lyme prevalence per 100k,82666.43784702843,2935.1140831403027,179.6786199714279,82846.11646699985,scenario_projection_recursive,lyme_prevalence
high_emissions,2082,lyme_cases_per_100k,Lyme prevalence per 100k,82846.11646699985,1418.2958142502757,1537.0209826385915,84383.13744963845,scenario_projection_recursive,lyme_prevalence
high_emissions,2083,lyme_cases_per_100k,Lyme prevalence per 100k,84383.13744963845,1084.5735284162074,4029.4334852951115,88412.57093493357,scenario_projection_recursive,lyme_prevalence
high_emissions,2084,lyme_cases_per_100k,Lyme prevalence per 100k,88412.57093493357,3198.629317742947,351.22967385997845,88763.80060879355,scenario_projection_recursive,lyme_prevalence
high_emissions,2085,lyme_cases_per_100k,Lyme prevalence per 100k,88763.80060879355,1577.2976110050222,3665.050678499556,92428.8512872931,scenario_projection_recursive,lyme_prevalence
high_emissions,2086,lyme_cases_per_100k,Lyme prevalence per 100k,92428.8512872931,2560.443676953044,1405.887290870466,93834.73857816357,scenario_projection_recursive,lyme_prevalence
high_emissions,2087,lyme_cases_per_100k,Lyme prevalence per 100k,93834.73857816357,2158.9417534134845,1244.7343184392773,95079.47289660285,scenario_projection_recursive,lyme_prevalence
high_emissions,2088,lyme_cases_per_100k,Lyme prevalence per 100k,95079.47289660285,1298.4519759163522,2238.0044639713196,97317.47736057416,scenario_projection_recursive,lyme_prevalence
high_emissions,2089,lyme_cases_per_100k,Lyme prevalence per 100k,97317.47736057416,1906.9144154606474,3611.887474862823,100929.364835437,scenario_projection_recursive,lyme_prevalence
high_emissions,2090,lyme_cases_per_100k,Lyme prevalence per 100k,100929.364835437,3153.92647123232,-5329.564408717088,95599.80042671991,scenario_projection_recursive,lyme_prevalence
high_emissions,2091,lyme_cases_per_100k,Lyme prevalence per 100k,95599.80042671991,-2349.080447523782,6441.404210980768,102041.20463770068,scenario_projection_recursive,lyme_prevalence
high_emissions,2092,lyme_cases_per_100k,Lyme prevalence per 100k,102041.20463770068,2517.748004414825,2249.238400172867,104290.44303787354,scenario_projection_recursive,lyme_prevalence
high_emissions,2093,lyme_cases_per_100k,Lyme prevalence per 100k,104290.44303787354,3646.627003775502,1934.2552379209576,106224.6982757945,scenario_projection_recursive,lyme_prevalence
high_emissions,2094,lyme_cases_per_100k,Lyme prevalence per 100k,106224.6982757945,2039.2496253382415,1701.4708177385476,107926.16909353304,scenario_projection_recursive,lyme_prevalence
high_emissions,2095,lyme_cases_per_100k,Lyme prevalence per 100k,107926.16909353304,1779.0656244660204,1516.6055069151232,109442.77460044816,scenario_projection_recursive,lyme_prevalence
high_emissions,2096,lyme_cases_per_100k,Lyme prevalence per 100k,109442.77460044816,1578.2272771895805,127.69206819058422,109570.46666863875,scenario_projection_recursive,lyme_prevalence
high_emissions,2097,lyme_cases_per_100k,Lyme prevalence per 100k,109570.46666863875,590.6632144321193,4555.116364057025,114125.58303269578,scenario_projection_recursive,lyme_prevalence
high_emissions,2098,lyme_cases_per_100k,Lyme prevalence per 100k,114125.58303269578,3079.3082654348837,15.144568569672174,114140.72760126545,scenario_projection_recursive,lyme_prevalence
high_emissions,2099,lyme_cases_per_100k,Lyme prevalence per 100k,114140.72760126545,1528.4685003987834,2119.517767158419,116260.24536842387,scenario_projection_recursive,lyme_prevalence
high_emissions,2100,lyme_cases_per_100k,Lyme prevalence per 100k,116260.24536842387,1418.0600342955004,-834.085496372418,115426.15987205146,scenario_projection_recursive,lyme_prevalence
medium_emissions,2026,lyme_cases_per_100k,Lyme prevalence per 100k,7939.903481400254,2246.2488823894782,1366.7370461485446,9306.6405275488,scenario_projection_recursive,lyme_prevalence
medium_emissions,2027,lyme_cases_per_100k,Lyme prevalence per 100k,9306.6405275488,1863.476360955584,-1183.2725138286628,8123.368013720137,scenario_projection_recursive,lyme_prevalence
medium_emissions,2028,lyme_cases_per_100k,Lyme prevalence per 100k,8123.368013720137,-333.26932716959345,123.81212641293541,8247.180140133072,scenario_projection_recursive,lyme_prevalence
medium_emissions,2029,lyme_cases_per_100k,Lyme prevalence per 100k,8247.180140133072,-311.8827536675981,-1840.4743592359207,6406.705780897151,scenario_projection_recursive,lyme_prevalence
medium_emissions,2030,lyme_cases_per_100k,Lyme prevalence per 100k,6406.705780897151,-1185.7121973529693,953.2599640372121,7359.965744934363,scenario_projection_recursive,lyme_prevalence
medium_emissions,2031,lyme_cases_per_100k,Lyme prevalence per 100k,7359.965744934363,22.015189612834547,3805.661321256438,11165.627066190802,scenario_projection_recursive,lyme_prevalence
medium_emissions,2032,lyme_cases_per_100k,Lyme prevalence per 100k,11165.627066190802,2854.86086885003,-771.7133754373431,10393.91369075346,scenario_projection_recursive,lyme_prevalence
medium_emissions,2033,lyme_cases_per_100k,Lyme prevalence per 100k,10393.91369075346,754.0781901272512,-1253.8073789104958,9140.106311842963,scenario_projection_recursive,lyme_prevalence
medium_emissions,2034,lyme_cases_per_100k,Lyme prevalence per 100k,9140.106311842963,-1093.1093777527785,4153.031197949894,13293.137509792858,scenario_projection_recursive,lyme_prevalence
medium_emissions,2035,lyme_cases_per_100k,Lyme prevalence per 100k,13293.137509792858,2350.751672329763,-2286.7405953609577,11006.3969144319,scenario_projection_recursive,lyme_prevalence
medium_emissions,2036,lyme_cases_per_100k,Lyme prevalence per 100k,11006.3969144319,-140.1499975906754,1216.653424643676,12223.050339075577,scenario_projection_recursive,lyme_prevalence
medium_emissions,2037,lyme_cases_per_100k,Lyme prevalence per 100k,12223.050339075577,48.85541797546648,4747.880801028917,16970.931140104494,scenario_projection_recursive,lyme_prevalence
medium_emissions,2038,lyme_cases_per_100k,Lyme prevalence per 100k,16970.931140104494,3570.805008900503,-223.45985278930175,16747.47128731519,scenario_projection_recursive,lyme_prevalence
medium_emissions,2039,lyme_cases_per_100k,Lyme prevalence per 100k,16747.47128731519,1433.6536984834365,3504.7811253600976,20252.25241267529,scenario_projection_recursive,lyme_prevalence
medium_emissions,2040,lyme_cases_per_100k,Lyme prevalence per 100k,20252.25241267529,2262.0341326436283,-1700.5533545477526,18551.69905812754,scenario_projection_recursive,lyme_prevalence
medium_emissions,2041,lyme_cases_per_100k,Lyme prevalence per 100k,18551.69905812754,34.55813875486638,1778.9367599056811,20330.63581803322,scenario_projection_recursive,lyme_prevalence
medium_emissions,2042,lyme_cases_per_100k,Lyme prevalence per 100k,20330.63581803322,619.1067217545351,-356.45706626001765,19974.178751773205,scenario_projection_recursive,lyme_prevalence
medium_emissions,2043,lyme_cases_per_100k,Lyme prevalence per 100k,19974.178751773205,355.34087579521656,-1690.0150734757603,18284.163678297446,scenario_projection_recursive,lyme_prevalence
medium_emissions,2044,lyme_cases_per_100k,Lyme prevalence per 100k,18284.163678297446,-1245.4957377371793,1826.055757353099,20110.219435650546,scenario_projection_recursive,lyme_prevalence
medium_emissions,2045,lyme_cases_per_100k,Lyme prevalence per 100k,20110.219435650546,654.0321470768176,652.4065926612222,20762.62602831177,scenario_projection_recursive,lyme_prevalence
medium_emissions,2046,lyme_cases_per_100k,Lyme prevalence per 100k,20762.62602831177,1043.6229808918506,1210.0182259348283,21972.6442542466,scenario_projection_recursive,lyme_prevalence
medium_emissions,2047,lyme_cases_per_100k,Lyme prevalence per 100k,21972.6442542466,1024.1476815102942,-414.58119366799724,21558.063060578603,scenario_projection_recursive,lyme_prevalence
medium_emissions,2048,lyme_cases_per_100k,Lyme prevalence per 100k,21558.063060578603,126.9519461996133,2751.5450228713626,24309.608083449966,scenario_projection_recursive,lyme_prevalence
medium_emissions,2049,lyme_cases_per_100k,Lyme prevalence per 100k,24309.608083449966,1696.1696173582422,612.1978030161811,24921.805886466147,scenario_projection_recursive,lyme_prevalence
medium_emissions,2050,lyme_cases_per_100k,Lyme prevalence per 100k,24921.805886466147,1325.3135429679096,-273.1441971064835,24648.661689359662,scenario_projection_recursive,lyme_prevalence
medium_emissions,2051,lyme_cases_per_100k,Lyme prevalence per 100k,24648.661689359662,21.969802934399922,911.4142392276992,25560.07592858736,scenario_projection_recursive,lyme_prevalence
medium_emissions,2052,lyme_cases_per_100k,Lyme prevalence per 100k,25560.07592858736,516.5614271163031,-353.52734931264445,25206.548579274717,scenario_projection_recursive,lyme_prevalence
medium_emissions,2053,lyme_cases_per_100k,Lyme prevalence per 100k,25206.548579274717,68.11984686747019,-221.60415305886954,24984.944426215847,scenario_projection_recursive,lyme_prevalence
medium_emissions,2054,lyme_cases_per_100k,Lyme prevalence per 100k,24984.944426215847,-265.57855181012565,-264.35006524670007,24720.594360969146,scenario_projection_recursive,lyme_prevalence
medium_emissions,2055,lyme_cases_per_100k,Lyme prevalence per 100k,24720.594360969146,-250.10142785076096,4160.625210854358,28881.2195718235,scenario_projection_recursive,lyme_prevalence
medium_emissions,2056,lyme_cases_per_100k,Lyme prevalence per 100k,28881.2195718235,2685.633452154001,-825.5754680545838,28055.64410376892,scenario_projection_recursive,lyme_prevalence
medium_emissions,2057,lyme_cases_per_100k,Lyme prevalence per 100k,28055.64410376892,836.4914249150606,625.4493453817706,28681.09344915069,scenario_projection_recursive,lyme_prevalence
medium_emissions,2058,lyme_cases_per_100k,Lyme prevalence per 100k,28681.09344915069,141.77440756965007,1910.5746596483484,30591.668108799036,scenario_projection_recursive,lyme_prevalence
medium_emissions,2059,lyme_cases_per_100k,Lyme prevalence per 100k,30591.668108799036,1482.1995548928207,190.77698572691975,30782.445094525956,scenario_projection_recursive,lyme_prevalence
medium_emissions,2060,lyme_cases_per_100k,Lyme prevalence per 100k,30782.445094525956,764.0428770340623,651.7499901581834,31434.19508468414,scenario_projection_recursive,lyme_prevalence
medium_emissions,2061,lyme_cases_per_100k,Lyme prevalence per 100k,31434.19508468414,498.092322014425,2514.3683035961158,33948.56338828026,scenario_projection_recursive,lyme_prevalence
medium_emissions,2062,lyme_cases_per_100k,Lyme prevalence per 100k,33948.56338828026,1893.4955324501389,1775.9795531838315,35724.54294146409,scenario_projection_recursive,lyme_prevalence
medium_emissions,2063,lyme_cases_per_100k,Lyme prevalence per 100k,35724.54294146409,2022.1091366545952,2445.3585319943168,38169.901473458405,scenario_projection_recursive,lyme_prevalence
medium_emissions,2064,lyme_cases_per_100k,Lyme prevalence per 100k,38169.901473458405,2222.2322057241545,-1335.2609299161068,36834.6405435423,scenario_projection_recursive,lyme_prevalence
medium_emissions,2065,lyme_cases_per_100k,Lyme prevalence per 100k,36834.6405435423,-75.05444261262892,-338.9128510197713,36495.72769252253,scenario_projection_recursive,lyme_prevalence
medium_emissions,2066,lyme_cases_per_100k,Lyme prevalence per 100k,36495.72769252253,-671.0288773185457,3123.345958960549,39619.07365148308,scenario_projection_recursive,lyme_prevalence
medium_emissions,2067,lyme_cases_per_100k,Lyme prevalence per 100k,39619.07365148308,1969.2596889671113,370.49467122423994,39989.56832270732,scenario_projection_recursive,lyme_prevalence
